Learning Area,Subject,Pathway,Sequence,Level,Achievement Standard
The Arts,Music,,,Year 9 and 10,"<p>By the end of Year 10, students analyse ways composers and/or performers use the elements of music and compositional devices to engage audiences. They evaluate how music and/or performances in a range of styles and/or from across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning. They evaluate how music is used to celebrate and challenge perspectives of Australian identity.</p>
<p>Students?demonstrate listening and aural skills relevant to the styles and/or contexts in which they are working. Students?manipulate elements of music and use compositional devices to communicate ideas, perspectives and/or meaning in compositions in selected style/s, form/s and/or using selected instrumentation. They notate, document and/or record their music. They apply knowledge of styles and/or forms when performing their own and/or others’ music. They demonstrate appropriate vocal and/or instrumental techniques and performance skills when performing music for audiences.</p>"
The Arts,Visual Arts,,,Years 1 and 2,"<p>By the end of Year 2, students identify where they experience visual arts. They describe where, why and/or how people across cultures, communities and/or other contexts experience visual arts.</p>
<p>Students experiment with visual conventions, visual arts processes and materials. They make and share artworks in informal settings.</p>"
The Arts,Visual Arts,,,Years 3 and 4,"<p>By the end of Year 4, students describe the use of visual conventions, visual arts processes and materials in artworks they create and/or experience. They describe where, why and/or how visual artists create and/or display artworks across cultures, times, places and/or other contexts.</p> <p>Students use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and/or meaning. They share or display their artworks and/or visual arts practice in informal settings.</p>"
The Arts,Visual Arts,,,Years 5 and 6,"<p>By the end of Year 6, students explain the ways that visual conventions, visual arts processes and materials are used in artworks they create and/or experience. They describe how artworks created across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning. They describe how visual arts are used to continue and revitalise cultures.</p>
<p>Students develop and document ideas for their own artworks. They select and use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and/or meaning. They present documentation and artworks that communicate ideas, perspectives or meaning in informal and/or formal settings.</p>"
The Arts,Visual Arts,,,Years 7 and 8,"<p>By the end of Year 8, students analyse how visual conventions, visual arts processes and materials are manipulated in artworks they create and/or experience. They evaluate the ways that visual artists across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning through their visual arts practice. They describe respectful approaches to creating and/or responding to artworks.</p>
<p>Students generate, document and develop ideas for artworks. They reflect on their visual arts practice. They select and manipulate visual conventions, visual arts processes and/or materials to create artworks that represent ideas, perspectives and/or meaning. They curate and present exhibits and/or displays of their own and/or others’ artworks and/or visual arts practice for audiences.</p>"
The Arts,Visual Arts,,,Year 9 and 10,"<p>By the end of Year 10, students analyse how and why visual conventions, visual arts processes and materials are manipulated in artworks they create and/or experience. They evaluate how and why artists from across cultures, times, places and/or other contexts use visual conventions, visual arts processes and materials in their visual arts practice and/or artworks to represent and/or challenge ideas, perspectives and/or meaning. They evaluate how visual arts are used to celebrate and challenge perspectives of Australian identity.</p>
<p>Students draw on inspiration from multiple sources to generate and develop ideas for artworks. They document and reflect on their own visual arts practice. They use knowledge of visual conventions, visual arts processes and materials to create artworks that represent and/or communicate ideas, perspectives and/or meaning. They curate and present exhibitions of their own and or/others’ artworks and visual arts practice to engage audiences.</p>"
The Arts,,,,Years 1 and 2,"<p>By the end of Year 2, students identify where they experience the arts. They describe where, why and/or how people across cultures, communities and/or other contexts experience the arts.</p>
<p>Students demonstrate arts practices and skills across arts subjects. They create arts works in a range of forms. They share their work in informal settings.</p>"
The Arts,,,,Years 3 and 4,"<p>By the end of Year 4, students describe use of elements, concepts and/or conventions in arts works they create and/or experience. They describe where, why and/or how arts works are created and presented across cultures, times, places, and/or other contexts.</p>
<p>Students use arts knowledge and skills to create arts works in a range of forms that communicate ideas, perspectives and/or meaning. They present and/or perform their work in informal settings.</p>"
The Arts,,,,Years 5 and 6,"<p>By the end of Year 6, students explain the use of elements, concepts and/or conventions in arts works they create and/or experience. They describe how the arts communicate ideas, perspectives and/or meaning across cultures, times, places and/or other contexts. They describe how the arts are used to continue and revitalise cultures.</p>
<p>Students use subject-specific knowledge, elements, concepts, conventions, materials, skills and/or processes to create arts works that communicate ideas, perspectives and/or meaning. They demonstrate safe practices. They present and perform their arts works in formal and/or informal settings.</p>"
English,English,,,Foundation Year,"<p>By the end of Foundation, students listen to texts, interact with others and create short spoken texts, including retelling stories. They share thoughts and preferences, retell events and report information or key ideas to an audience. They use language features including words and phrases from learning and texts. They listen for and identify rhymes, letter patterns and sounds (phonemes) in words. They orally blend and segment phonemes in single-syllable words.</p>
<p>They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences. They identify the language features of texts including connections between print and images. They name the letters of the English alphabet and know and use the most common sounds (phonemes) represented by these letters (graphs). They read words including consonant–vowel–consonant words and some high-frequency words.</p>
<p>They create short written texts, including retelling stories using words and images where appropriate. They retell, report information and state their thoughts, feelings and key ideas. They use words and phrases from learning and texts. They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops.</p>"
English,English,,,Year 1,"<p>By the end of Year 1, students interact with others, and listen to and create short spoken texts including recounts of stories. They share ideas and retell or adapt familiar stories, recount or report on events or experiences, and express opinions using a small number of details from learnt topics, topics of interest or texts. They sequence ideas and use language features including topic-specific vocabulary and features of voice.</p>
<p>They read, view and comprehend texts, monitoring meaning and making connections between the depiction of characters, settings and events, and to personal experiences. They identify the text structures of familiar narrative and informative texts, and their language features and visual features. They blend short vowels, common long vowels, consonants and digraphs to read one-syllable words. They read one- and two-syllable words with common letter patterns, and an increasing number of high-frequency words. They use sentence boundary punctuation to read with developing phrasing and fluency.</p>
<p>They create short written and/or multimodal texts including recounts of stories with events and characters. They report information and experiences, and express opinions. Ideas in their texts may be informative or imaginative and include a small number of details from learnt topics, topics of interest or texts. They write simple sentences with sentence boundary punctuation and capital letters for proper nouns. They use topic-specific vocabulary. They write words using unjoined upper-case and lower-case letters. They spell most one- and two-syllable words with common letter patterns and common grammatical morphemes, and an increasing number of high-frequency words.</p>"
English,English,,,Year 2,"<p>By the end of Year 2, students interact with others, and listen to and create spoken texts including stories. They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts. They organise and link ideas, and use language features including topic-specific vocabulary and features of voice.</p>
<p>They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events. They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features. They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words. They use punctuation for phrasing and fluency.</p>
<p>They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences. They use text structures to organise and link ideas for a purpose. They punctuate simple and compound sentences. They use topic-specific vocabulary. They write words using consistently legible unjoined letters. They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns.</p>"
English,English,,,Year 3,"<p>By the end of Year 3, students interact with others, and listen to and create spoken and/or multimodal texts including stories. They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts. They group, logically sequence and link ideas. They use language features including topic-specific vocabulary, and/or visual features and features of voice.</p> <p>They read, view and comprehend texts, recognising their purpose and audience. They identify literal meaning and explain inferred meaning. They describe how stories are developed through characters and/or events. They describe how texts are structured and presented. They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning. They read fluently, using phonic, morphemic and grammatical knowledge to read multisyllabic words with more complex letter patterns.</p> They create written and/or multimodal texts, including stories to inform, narrate, explain or argue for audiences, relating ideas including relevant details from learnt topics, topics of interest or texts. They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features. They write texts using letters that are accurately formed and consistent in size. They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words."
English,English,,,Year 4,"<p>By the end of Year 4, students interact with others, and listen to and create spoken and/or multimodal texts including stories. They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts. They use text structures to organise and link ideas. They use language features including subjective and objective language, topic-specific vocabulary and literary devices, and/or visual features and features of voice.</p>
<p>They read, view and comprehend texts created to inform, influence and/or engage audiences. They describe how ideas are developed including through characters and events, and how texts reflect contexts. They describe the characteristic features of different text structures. They describe how language features including literary devices, and visual features shape meaning. They read fluently and accurately, integrating phonic, morphemic, grammatical and punctuation knowledge.</p>
<p>They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts. They use paragraphs to organise and link ideas. They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features. They write texts using clearly formed letters with developing fluency. They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.</p>"
English,English,,,Year 5,"<p>By the end of Year 5, students interact with others, and listen to and create spoken and/or multimodal texts including literary texts. For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts. They use different text structures to organise, develop and link ideas. They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice.</p>
<p>They read, view and comprehend texts created to inform, influence and/or engage audiences. They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts. They explain how characteristic text structures support the purpose of texts. They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text.</p>
<p>They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts. They use paragraphs to organise, develop and link ideas. They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features. They spell using phonic, morphemic and grammatical knowledge.</p>"
English,English,,,Year 6,"<p>By the end of Year 6, students interact with others, and listen to and create spoken and/or multimodal texts including literary texts. For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts. They use and vary text structures to organise, develop and link ideas. They use and vary language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice.</p><p>They read, view and comprehend different texts created to inform, influence and/or engage audiences. They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts. They identify how texts have similar and different text structures to reflect purpose. They explain how language features including literary devices, and visual features influence audiences.</p> <p>They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts. They use text structures and vary paragraphs to organise, develop and link ideas. They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features. They spell using phonic, morphemic and grammatical knowledge.</p>"
English,English,,,Year 7,"<p>By the end of Year 7, students interact with others, and listen to and create spoken and/or multimodal texts including literary texts. With different purposes and for audiences, they discuss, express and expand ideas with evidence. They adopt text structures to organise, develop and link ideas. They adopt language features including literary devices, and/or multimodal features and features of voice.</p>
<p>They read, view and comprehend texts created to inform, influence and/or engage audiences. They identify how ideas are portrayed and how texts are influenced by contexts. They identify the aesthetic qualities of texts. They identify how text structures, language features including literary devices and visual features shape meaning.</p>
<p>They create written and/or multimodal texts, including literary texts, for different purposes and audiences, expressing and expanding on ideas with evidence. They adopt text structures to organise, develop and link ideas. They adopt language features including literary devices, and/or multimodal features.</p>"
English,English,,,Year 8,"<p>By the end of Year 8, students interact with others, and listen to and create spoken and/or multimodal texts including literary texts. With different purposes and for audiences, they discuss, express and elaborate on ideas with supporting evidence. They select and vary text structures to organise, develop and link ideas. They select and vary language features including literary devices, and/or multimodal features and features of voice.</p>
<p>They read, view and comprehend a range of texts created to inform, influence and/or engage audiences. They explain how ideas are represented and how texts reflect or challenge contexts. They explain the aesthetic qualities of texts. They explain how text structures shape meaning. They explain the effects of language features including intertextual references and literary devices, and visual features.</p>
<p>They create written and/or multimodal texts, including literary texts for different purposes and audiences, expressing and advancing ideas with supporting evidence. They select and vary text structures to organise, develop and link ideas. They select and vary language features including literary devices, and/or multimodal features.</p>"
English,English,,,Year 9,"<p>By the end of Year 9, students interact with others, and listen to and create spoken and multimodal texts including literary texts. With a range of purposes and for audiences, they discuss and expand on ideas, shaping meaning and providing substantiation. They select and experiment with text structures to organise and develop ideas. They select and experiment with language features including literary devices, and experiment with multimodal features and features of voice.</p>
<p>They read, view and comprehend a range of texts created to inform, influence and/or engage audiences. They analyse representations of people, places, events and concepts, and how texts respond to contexts. They analyse the aesthetic qualities of texts. They analyse the effects of text structures, and language features including literary devices, intertextual references, and multimodal features.</p>
<p>They create written and multimodal texts, including literary texts, for a range of purposes and audiences, expressing and expanding ideas, shaping meaning and providing substantiation. They select and experiment with text structures to organise, develop and link ideas. They select and experiment with language features including literary devices, and experiment with multimodal features.</p>"
English,English,,,Year 10,"<p>By the end of Year 10, students interact with others, and listen to and create spoken and multimodal texts including literary texts. With a range of purposes and for audiences, they discuss ideas and responses to representations, making connections and providing substantiation. They select and experiment with text structures to organise and develop ideas. They select, vary and experiment with language features including rhetorical and literary devices, and experiment with multimodal features and features of voice.</p>
<p>They read, view and comprehend a range of texts created to inform, influence and engage audiences. They analyse and evaluate representations of people, places, events and concepts, and how interpretations of these may be influenced by readers and viewers. They analyse the effects of text structures, and language features including literary devices, intertextual connections, and multimodal features, and their contribution to the aesthetic qualities of texts.</p>
<p>They create written and multimodal texts, including literary texts, for a range of purposes and audiences, expressing ideas and representations, making connections and providing substantiation. They select and experiment with text structures to organise, develop and link ideas and representations. They select, vary and experiment with language features including literary devices, and experiment with multimodal features.</p>"
Humanities and Social Sciences,Civics and Citizenship,,,Year 7,"<p>By the end of Year 7, students describe the key features of Australia's system of government, and the principles and features of the Australian legal system. They explain the characteristics of Australian democracy. Students describe the nature of Australian society, its cultural and religious diversity, and identify the values that support cohesion in Australian society.</p>
<p>Students develop questions and locate, select and organise information from sources to investigate political and legal systems, and contemporary civic issues. They analyse information and identify perspectives and challenges related to political, legal or civic issues. They identify and describe the methods or strategies related to civic participation or action. Students use civics and citizenship concepts, terms and sources to create descriptions, explanations and arguments.</p>"
Humanities and Social Sciences,Civics and Citizenship,,,Year 8,"<p>By the end of Year 8, students explain how Australians are informed about and participate in their democracy. They describe the roles of political parties and elected representatives in Australian government. They explain the characteristics of laws, how laws are made and the types of law in Australia. Students identify ways in which Australians express different aspects of their identity and explain perspectives on Australia’s national identity.</p>
<p>Students develop questions and locate, select and organise relevant information from different sources to investigate political and legal systems, and contemporary civic issues. They analyse information and identify and describe perspectives and challenges related to political, legal or civic issues. They explain the methods or strategies related to civic participation or action. Students use civics and citizenship knowledge, concepts, terms and references to evidence from sources to create descriptions, explanations and arguments.</p>"
Humanities and Social Sciences,Civics and Citizenship,,,Year 9,"<p>By the end of Year 9, students analyse the role of the Australian Constitution, the federal system of government, and the process and reasons for constitutional change. They explain policy development and legislative processes in Australia’s democracy. Students identify the key features and jurisdictions of Australia’s court system and explain the role and processes of courts and tribunals. Students identify the reasons individuals and groups participate in and contribute to civic life nationally and globally.  They explain the influence of the media on reflections of identity and diversity. </p>

<p>Students develop a range of questions and locate, select and compare information from sources to investigate political and legal systems, and contemporary civic issues. They analyse information to explain perspectives and challenges related to political, legal or civic issues. Students identify and evaluate the methods or strategies related to civic participation or action. Students use civics and citizenship knowledge, concepts and terms to develop descriptions, explanations and evidence-based arguments.</p>"
Humanities and Social Sciences,Civics and Citizenship,,,Year 10,"<p>By the end of Year 10, students compare the key features and values of Australia’s system of government to those of another system of government. They describe the Australian Government’s role and responsibilities at a regional and global level. They explain the role of the High Court of Australia. They explain how Australia’s international legal obligations influence the law and government policy. They identify and explain challenges to a resilient democracy and a cohesive society in Australia.</p> <p>Students develop and refine a range of questions and locate, select and compare relevant and reliable information from a range of sources to investigate political and legal systems, and contemporary civic issues. They analyse information to evaluate perspectives and challenges related political, legal or civic issues. They evaluate and compare the methods or strategies related to civic participation or action. Students use civics and citizenship knowledge, concepts and terms to develop descriptions, explanations and arguments that synthesise evidence from sources.</p>"
Humanities and Social Sciences,Economics and Business,,,Year 7,"<p>By the end of Year 7, students describe how decisions are made to allocate limited resources to individuals and communities in an economy. They describe the reasons businesses exist and types of businesses, and identify how entrepreneurial characteristics contribute to the success of a business. They describe the reasons individuals choose to work, how they may derive an income and the types of work that exist. Students identify the rights and responsibilities of individuals and businesses in terms of products and services.</p> <p>Students develop questions to investigate an economic and business issue. They locate, select and organise data and information from sources. They interpret information and data to identify economic and business issues, trends or effects. They develop a response and identify potential costs and benefits. Students use economic and business knowledge, concepts, terms and sources to create descriptions and explanations.</p>"
Humanities and Social Sciences,Economics and Business,,,Year 8,"<p>By the end of Year 8, students explain how markets influence the allocation of resources to the production of goods and services. They explain ways that businesses adapt to opportunities in markets and respond to the work environment. They describe the importance of Australia’s taxation system and its effect on decision-making by individuals and businesses. Students explain why individuals and/or businesses budget and plan.</p> <p>Students develop a range of questions to investigate an economic and business issue. They locate, select and organise relevant information and data. They interpret information and data to identify economic and business issues and trends, and describe economic cause-and-effect relationships. They develop a response to an economic and business issue. They identify and evaluate potential costs and benefits. Students use economics and business knowledge, concepts, terms and research findings to create descriptions and explanations.</p>"
Humanities and Social Sciences,Economics and Business,,,Year 9,"<p>By the end of Year 9, students explain the role of Australia’s financial sector and its effect on economic decision-making by individuals and businesses. They explain the interdependence of participants in the global market and the effect on economic decision-making. They explain the reasons for trade and Australia’s pattern of trade with Asia. They explain why businesses seek to create and maintain a competitive advantage. Students explain how individuals and businesses manage consumer and financial risks and rewards.</p> <p>Students develop and modify questions to investigate an economic and business issue. They locate, select and analyse information and data from a range of sources. They interpret and analyse information and data to explain economic trends and cause-and-effect relationships, and identify consumer and financial impacts. They develop a response to an economic and business issue, taking account of economic, business or financial factors. They evaluate a response using criteria and make decisions about how it is to be implemented. Students use economic and business knowledge, concepts and terms to develop descriptions, explanations and arguments that acknowledge research findings.</p>"
Humanities and Social Sciences,Economics and Business,,,Year 10,"<p>By the end of Year 10, students analyse how economic indicators influence Australian Government decision-making. They explain ways that government intervenes to improve economic performance and living standards. They explain processes that businesses use to manage the workforce and improve productivity. They explain the importance of Australia’s superannuation system and its effect on consumer and financial decision-making.  Students analyse factors that influence major consumer and financial decisions, and explain the short- and long-term effects of these decisions.</p> <p>Students develop and modify a range of questions to investigate an economic and business issue. They locate, select and analyse relevant and reliable information and data from a range of sources. They interpret and analyse information and data to evaluate trends and economic cause-and-effect relationships and make predictions about consumer and financial impacts. They develop an evidence-based response to an economic and business issue. They evaluate a response, using appropriate criteria to decide on a course of action. Students use economic and business knowledge, concepts and terms to develop descriptions, explanations and reasoned arguments that synthesise research findings.</p>"
Humanities and Social Sciences,Geography,,,Year 7,"<p>By the end of Year 7, students describe how the characteristics of places are perceived and valued differently by people. They describe the?importance of environments to people. They describe the features of a distribution. They explain the interconnections between people and places and environments, and describe how these interconnections change places or environments. Students describe a response or strategy to address a geographical challenge or phenomenon. Students develop questions about a geographical phenomenon or challenge.</p><p>They collect, organise and represent relevant data and information, using primary research methods and secondary research materials. They identify similarities and differences, and describe patterns in data and information. They draw conclusions about the impact of the geographical phenomenon or challenge on people, places and environments. They develop a strategy for action. Students use geographical knowledge, concepts, terms and relevant findings from sources to create descriptions, explanations and responses.</p>"
Humanities and Social Sciences,Geography,,,Year 8,"<p>By the end of Year 8, students explain how the interactions of people and environmental processes impact on the characteristics of?places. They explain how the characteristics of places are perceived and valued differently by people. They describe the?effects of human activity or hazards on environments. They explain the features of a distribution and identify implications. They explain the interconnections between people and places and environments. They explain how these interconnections change places or environments. Students explain responses or strategies to address a geographical phenomenon or challenge, referring to environmental, economic or social factors.</p> <p>Students develop relevant questions about a geographical phenomenon or challenge. They collect, organise and represent relevant and reliable data and information using primary research methods and secondary research materials. They interpret and analyse data and information to explain patterns and trends and infer relationships. They draw reasoned conclusions about the impact of the geographical phenomenon or challenge. They decide on appropriate strategies for action and explain potential impacts. Students use geographical knowledge, methods, concepts, terms and reference findings from sources to create descriptions, explanations and responses.</p>"
